Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,1474.319946,1509.5,1474.319946,1508.680054,1508.680054,1419900
2020-02-11,1511.810059,1529.630005,1505.637939,1508.790039,1508.790039,1344600
2020-02-12,1514.47998,1520.694946,1508.109985,1518.27002,1518.27002,1167600
2020-02-13,1512.689941,1527.180054,1504.599976,1514.660034,1514.660034,929500
2020-02-14,1515.599976,1520.73999,1507.339966,1520.73999,1520.73999,1197800
2020-02-18,1515,1531.630005,1512.589966,1519.670044,1519.670044,1120700
2020-02-19,1525.069946,1532.105957,1521.400024,1526.689941,1526.689941,949300
2020-02-20,1522,1529.640015,1506.819946,1518.150024,1518.150024,1096600
2020-02-21,1508.030029,1512.214966,1480.439941,1485.109985,1485.109985,1731700
2020-02-24,1426.109985,1436.969971,1411.390015,1421.589966,1421.589966,2867100
2020-02-25,1433,1438.140015,1382.400024,1388.449951,1388.449951,2478300
2020-02-26,1396.140015,1415.699951,1379,1393.180054,1393.180054,2202400
2020-02-27,1362.060059,1371.703979,1317.170044,1318.089966,1318.089966,2978300
2020-02-28,1277.5,1341.140015,1271,1339.329956,1339.329956,3789100
2020-03-02,1351.609985,1390.869995,1326.814941,1389.109985,1389.109985,2431500
2020-03-03,1399.420044,1410.150024,1332,1341.390015,1341.390015,2402300
2020-03-04,1359.22998,1388.089966,1343.109985,1386.52002,1386.52002,1913300
2020-03-05,1350.199951,1358.910034,1305.099976,1319.040039,1319.040039,2561300
2020-03-06,1277.060059,1306.219971,1261.050049,1298.410034,1298.410034,2660600
2020-03-09,1205.300049,1254.76001,1200,1215.560059,1215.560059,3365400
2020-03-10,1260,1281.150024,1218.77002,1280.390015,1280.390015,2611400
2020-03-11,1249.699951,1260.959961,1196.069946,1215.410034,1215.410034,2608500
2020-03-12,1126,1193.869995,1113.300049,1114.910034,1114.910034,4226700
2020-03-13,1179,1219.76001,1117.142944,1219.72998,1219.72998,3700100
2020-03-16,1096,1152.266968,1074.439941,1084.329956,1084.329956,4252400
